style,rating_count,beer_count,checkins_per_style
Sour - Fruited,576420,1545,373.0
IPA - American,538274,2186,246.0
IPA - New England / Hazy,535303,1277,419.0
IPA - Imperial / Double New England / Hazy,444464,569,781.0
Lager - Pale,406151,4672,87.0
Sour - Other Gose,401146,967,415.0
Sour - Smoothie / Pastry,345648,632,547.0
IPA - Imperial / Double,334063,1039,322.0
Sour - Fruited Gose,278804,694,402.0
Pale Ale - American,251634,1530,164.0
Stout - Russian Imperial,227918,932,245.0
Stout - Milk / Sweet,186340,688,271.0
IPA - Milkshake,168373,456,369.0
Fruit Beer,164602,1171,141.0
Sour - Fruited Berliner Weisse,140474,412,341.0
Mead - Melomel,130537,761,172.0
Stout - Imperial / Double,119784,551,217.0
Wheat Beer - Hefeweizen,118029,1230,96.0
Stout - Imperial / Double Milk,112050,221,507.0
Stout - Imperial / Double Pastry,109899,194,566.0
Sour - Other,106332,594,179.0
IPA - Sour,98528,227,434.0
IPA - Triple New England / Hazy,88393,84,1052.0
Porter - Other,80072,525,153.0
Pale Ale - New England / Hazy,79374,173,459.0
Stout - Other,79207,651,122.0
IPA - Session,77340,320,242.0
Porter - Baltic,76986,239,322.0
Cider - Other Fruit,72760,769,95.0
Wheat Beer - Witbier / Blanche,69789,807,86.0
IPA - Other,66634,592,113.0
Pilsner - Other,65264,505,129.0
Mead - Other,62744,708,89.0
Pale Ale - Milkshake,61923,76,815.0
Lager - IPL (India Pale Lager),60864,256,238.0
Stout - Oatmeal,58728,427,138.0
Farmhouse Ale - Saison,56088,675,83.0
Lager - Dortmunder / Export,54939,44,1249.0
Lager - Dark,53437,894,60.0
Cider - Traditional / Apfelwein,53337,576,93.0
Porter - Imperial / Double,52742,145,364.0
IPA - Triple,52461,111,473.0
Lager - Helles,52425,673,78.0
Lager - Strong,47571,235,202.0
Cider - Dry,47420,534,89.0
Pilsner - Czech / Bohemian,46397,346,134.0
Barleywine - Other,40289,204,197.0
Cider - Herbed / Spiced / Hopped,38346,217,177.0
Pumpkin / Yam Beer,34385,228,151.0
Kvass,34281,895,38.0
IPA - Imperial / Double Milkshake,34113,51,669.0
Chilli / Chile Beer,34032,49,695.0
Barleywine - English,33839,204,166.0
Porter - Imperial / Double Baltic,33610,51,659.0
Wild Ale - Other,31688,171,185.0
Wild Ale - American,29889,165,181.0
Sour - Traditional Gose,29334,205,143.0
IPA - Black / Cascadian Dark Ale,28508,176,162.0
Red Ale - American Amber / Red,28412,260,109.0
Wheat Beer - American Pale Wheat,28374,144,197.0
Sour - Flanders Red Ale,27768,76,365.0
Lager - Vienna,27527,401,69.0
Pilsner - German,27298,179,153.0
Mead - Session / Short,27239,22,1238.0
Lager - Munich Dunkel,25947,299,87.0
Shandy / Radler,25771,137,188.0
Stout - Pastry,25455,92,277.0
Barleywine - American,24540,137,179.0
Kellerbier / Zwickelbier,24323,189,129.0
Non-Alcoholic Beer - Lager,24078,181,133.0
Spiced / Herbed Beer,23318,274,85.0
Belgian Quadrupel,21809,148,147.0
Stout - Imperial / Double Oatmeal,21762,60,363.0
Stout - Coffee,21441,119,180.0
Hard Seltzer,21320,138,154.0
Belgian Tripel,20653,222,93.0
IPA - White / Wheat,19824,141,141.0
IPA - English,19602,166,118.0
Wheat Beer - Other,19598,306,64.0
IPA - Imperial / Double Black,19471,45,433.0
Belgian Strong Dark Ale,19379,148,131.0
Mead - Metheglin,19012,118,161.0
Belgian Blonde,18438,193,96.0
Mead - Braggot,18207,143,127.0
IPA - Brut,17679,90,196.0
Sour - Flanders Oud Bruin,16731,38,440.0
Märzen,16577,163,102.0
Pale Ale - Other,16409,320,51.0
Brown Ale - English,16116,143,113.0
Winter Ale,15669,170,92.0
Brown Ale - Other,15546,173,90.0
Bitter - Session / Ordinary,15425,128,121.0
Porter - American,14943,86,174.0
