style,rating_count,beer_count,checkins_per_style
IPA - American,100573754,201685,499.0
IPA - Imperial / Double,51707873,73022,708.0
IPA - New England / Hazy,44956972,122982,366.0
Pale Ale - American,37780865,105138,359.0
Stout - Imperial / Double,26979480,65750,410.0
Lager - Pale,20330401,34474,590.0
Farmhouse Ale - Saison,19176503,77127,249.0
IPA - Imperial / Double New England / Hazy,19029181,31400,606.0
IPA - Session,17193794,38036,452.0
Sour - Fruited,17147046,76885,223.0
Wheat Beer - Witbier / Blanche,13940615,31256,446.0
Belgian Tripel,13081210,21211,617.0
Wheat Beer - Hefeweizen,12741339,31631,403.0
Pilsner - Other,12014684,31517,381.0
Fruit Beer,11387567,36877,309.0
Red Ale - American Amber / Red,11100182,26616,417.0
Blonde Ale,10920121,49024,223.0
Sour - Other,10558194,52990,199.0
Stout - Russian Imperial,9584770,21513,446.0
Stout - Milk / Sweet,9286568,25233,368.0
Pilsner - German,9137794,16594,551.0
Lager - Helles,8652391,18742,462.0
Belgian Blonde,8491361,19075,445.0
Belgian Strong Golden Ale,7998212,10562,757.0
Wheat Beer - American Pale Wheat,7678713,18499,415.0
Porter - American,7488357,19559,383.0
Märzen,6955413,15626,445.0
Pumpkin / Yam Beer,6802939,11185,608.0
Sour - Fruited Berliner Weisse,6644158,15269,435.0
Sour - Fruited Gose,6505112,16903,385.0
Brown Ale - American,6471724,20239,320.0
Wild Ale - American,6199196,15196,408.0
Lager - American,6115382,17453,350.0
Stout - Imperial / Double Coffee,5907746,4314,1369.0
Porter - Other,5777598,25103,230.0
Belgian Quadrupel,5661528,10019,565.0
Kölsch,5647955,20963,269.0
Belgian Strong Dark Ale,5547489,9663,574.0
Pale Ale - New England / Hazy,5402000,14971,361.0
Lager - American Light,5289881,11568,457.0
Stout - Imperial / Double Pastry,5284145,9257,571.0
Pale Ale - English,5116840,20966,244.0
IPA - Triple,5010728,7889,635.0
Cider - Traditional / Apfelwein,4971495,27113,183.0
IPA - English,4930091,13493,365.0
Winter Ale,4909001,8779,559.0
Stout - Imperial / Double Milk,4829604,9516,508.0
Stout - Other,4754196,30338,157.0
Stout - Oatmeal,4733808,14778,320.0
Belgian Dubbel,4718864,11786,400.0
IPA - Black / Cascadian Dark Ale,4608942,16307,283.0
Shandy / Radler,4599977,10803,426.0
Stout - American,4580336,22075,207.0
IPA - Milkshake,4461070,15332,291.0
Golden Ale,4444193,3595,1236.0
Sour - Smoothie / Pastry,4322236,9963,434.0
Pilsner - Czech,4161097,1847,2253.0
IPA - Belgian,4115942,7748,531.0
Pale Ale - Belgian,4067717,7812,521.0
Bock - Single / Traditional,3996575,9141,437.0
IPA - Other,3986605,20217,197.0
Scotch Ale / Wee Heavy,3881812,9712,400.0
Cream Ale,3866920,18476,209.0
Lager - Vienna,3762392,10149,371.0
Spiced / Herbed Beer,3729818,13006,287.0
Lager - Mexican,3605341,2829,1274.0
Bitter - Session / Ordinary,3586798,16194,221.0
Strong Ale - American,3546676,4794,740.0
Porter - Imperial / Double,3517430,8138,432.0
Bock - Doppelbock,3464068,9898,350.0
Stout - Coffee,3409930,11535,296.0
Red Ale - Irish,3379378,11413,296.0
Lager - IPL (India Pale Lager),3346721,11017,304.0
Brown Ale - English,3338764,8961,373.0
Barleywine - American,3272073,10307,317.0
Sour - Berliner Weisse,3270940,22260,147.0
Stout - Irish Dry,3224732,10180,317.0
Pale Ale - Other,3034605,17114,177.0
IPA - White / Wheat,3003826,6726,447.0
Kellerbier / Zwickelbier,2979699,6335,470.0
IPA - Triple New England / Hazy,2949168,4896,602.0
Sour - Traditional Gose,2911131,15810,184.0
Lager - Dark,2910028,12060,241.0
Wheat Beer - Other,2720668,17584,155.0
Lager - Munich Dunkel,2715888,6033,450.0
IPA - Sour,2688617,8711,309.0
IPA - Red,2685417,7867,341.0
Bitter - Extra Special / Strong (ESB),2669115,9692,275.0
Porter - English,2481313,8316,298.0
Bock - Hell / Maibock / Lentebock,2450023,6563,373.0
IPA - Rye,2449876,6312,388.0
Cider - Other Fruit,2431526,16833,144.0
Lager - American Amber / Red,2381712,3520,677.0
Barleywine - English,2344492,7443,315.0
Stout - Imperial / Double Oatmeal,2179838,3879,562.0
Sour - Flanders Red Ale,2161741,3473,622.0
Lager - Dortmunder / Export,2085304,2963,704.0
Winter Warmer,2048466,4850,422.0
Porter - Baltic,2029406,7733,262.0
Hard Seltzer,2018296,28215,72.0
Red Ale - Imperial / Double,2013399,4371,461.0
Rye Beer,2002955,7430,270.0
Gluten-Free,1984390,2723,729.0
Porter - Coffee,1957067,4720,415.0
Smoked Beer,1957022,6641,295.0
Schwarzbier,1941727,6512,298.0
Wheat Beer - Dunkelweizen,1921732,7019,274.0
Festbier,1890299,6309,300.0
Brown Ale - Imperial / Double,1869986,4320,433.0
Golden Ale - Other,1756051,18535,95.0
Old Ale,1699053,4230,402.0
Pilsner - Czech / Bohemian,1689257,11211,151.0
Lambic - Gueuze,1686056,1697,994.0
Altbier,1638643,6252,262.0
Barleywine - Other,1534296,5829,263.0
Dark Ale,1516849,7184,211.0
Brown Ale - Other,1474473,11092,133.0
Stout - Foreign / Export,1430712,3437,416.0
Scottish Ale,1400260,5774,243.0
IPA - Fruited,1388932,365,3805.0
IPA - Brut,1342789,7298,184.0
Stout - Pastry,1293321,5912,219.0
Cider - Dry,1288559,14454,89.0
Lambic - Fruit,1262720,2493,507.0
